query,times
w富.贫[q r d c v a  n m  p]w,2
[， 。]p n[， 。],2
[知道 明白 原谅 合并 出现]n t,2
[， 。]d d u [， 。],2
听[V a],1
无非a[， 。],1
[让 叫 命令 指使 令] n 把 n v,1
亲自v u[， 。],1
v过了[， 。],1
告诉[nr r]r的n,1
[n nr] 把 n v 给 [n nr],1
一贯v a[，+。],1
还是n[， 。],1
拼命[v a n r][，+。],1
[因而 不仅 不论][v a][，+。],1
越 a[，+。],1
毫无n[， 。],1
同年d v[，+。],1
没v上[， 。],1
决不v v[，+。],1
一举v a[，+。],1
[衷心 重点 重新][v a n r][， 。],1
[n r]的 d a，,1
预先a[， 。],1
遵照n [， 。],1
定点[v a n r][， 。],1
接连[v a n r][， 。],1
相对v a[， 。],1
稍微v v[， 。],1
w[v a n r p s]什么,1
毫无[v a n r][， 。],1
随着d v[， 。],1
[， 。]p a [， 。],1
几乎v y[， 。],1
西门[猪 驴 马 牛],1
格外d n[， 。],1
全力a[， 。],1
[至今 至少 中途]v[v a n ][， 。],1
把*过了[V 一过],1
[主要 专程 专门][v a n r][， 。],1
毕竟a[， 。],1
不料v a[， 。],1
临时v a[， 。],1
[， 。]p r r [， 。],1
[a v n]背[a v n]腰,1
[没 没有]回回,1
一共v[v a n r][， 。],1
[， 。]p n f [， 。],1
w反.正[q r d c v a  n m  p]w,1
w[q r d c v a  n m  p]笑.哭w,1
一心d a[， 。],1
真正a[， 。],1
w[q r d c v a  n m  p]密.疏w,1
大概a[， 。],1
权威n[， 。],1
不必v n[， 。],1
已经d n[， 。],1
的确a[， 。],1
只得v y[， 。],1
极度 a[， 。],1
一律v n[， 。],1
v得 v a [， 。],1
v[v a n r][， 。],1
v着v[， 。],1
[， 。]d u n [， 。],1
常常v n[， 。],1
[， 。]d d y [， 。],1
惟独n[， 。],1
[给 送 教 找 借]r [这 那]q n,1
v过m q n[， 。],1
起r q n[， 。],1
偷偷v u[， 。],1
正在d a[， 。],1
[举 算 转]个,1
[退 喘 树立 长成 玩儿 发明 比]个,1
大致v v[， 。],1
共同v[v a n r][， 。],1
共同d a[， 。],1
暗中v v[， 。],1
帮r v [， 。],1
幸好v y[， 。],1
相继d v[， 。],1
忽然v y[， 。],1
w简.繁[q r d c v a  n m  p]w,1
整天[v a n r][， 。],1
极端v[v a n r][， 。],1
内d v[， 。],1
[不服]a+d+n+v++l,1
[不服]a d n v  l,1
可巧v n[， 。],1
无偿d v[， 。],1
d能v m[， 。],1
大多v n[， 。],1
[高度 高速 格外]v[q m ]v[， 。],1
这一n[， 。],1
[从头 从未 从小][v a n r][， 。],1
w上.下[q r d c v a  n m  p]w,1
显然v[， 。],1
v[下去 出来 上来 进去],1
索性a[， 。],1
[按期 按时 暗暗]v[q m ]n[， 。],1
听说[。 ？ ！],1
本来v n[， 。],1
[万一+要不+以至][v+a+n+r][，+。],1
[万一 要不 以至][v a n r][， 。],1
一心v[， 。],1
唱[哭 累],1
酌情v[v a n r][， 。],1
千万v v[， 。],1
马上v[， 。],1
预先v u[， 。],1
持续v a[， 。],1
大约a[， 。],1
早日v n[， 。],1
猛然d a[， 。],1
毫不d a[， 。],1
[多半 多么 而后]v[q m ]v[， 。],1
悄悄v n[， 。],1
[事先 首先 书面]v[v a n ][， 。],1
一齐d n[， 。],1
感到d a[， 。],1
不曾v a[， 。],1
忽然v[v a n r][， 。],1
持续a[， 。],1
时常v u[， 。],1
好在v a[， 。],1
真的不a[， 。],1
何必n[， 。],1
一心a[， 。],1
天生d v[， 。],1
过度v y[， 。],1
首先v y[， 。],1
[如果 要是 假如]*挺好的,1
极其v[， 。],1
到处d n[， 。],1
戴在[nt ns s f r] ,1
w降.升[q r d c v a  n m  p]w,1
[成心 乘机 持续][v a n r][， 。],1
四处v a[， 。],1
v了r[， 。],1
曾经v a[， 。],1
空前d v[， 。],1
[， 。]d d a [， 。],1
必定v y[， 。],1
[奋勇 附带 赶紧][v a n r][， 。],1
没有v n[， 。],1
v这样的n[， 。],1
而后v y[， 。],1
要多a有多a[， 。],1
匆匆v[v a n r][， 。],1
竟然v n[， 。],1
的n [里 外] 面w,1
中途d v[， 。],1
w[q r d c v a n m p]降.升w,1
何等v v[， 。],1
那 n[， 。],1
不料d v[， 。],1
赶忙n[， 。],1
[让出 收拾 凿 带回 钉 拔 回来]个,1
[口头 快速 历来]v[q m ]n[， 。],1
得以[v a n r][， 。],1
好[a N],1
匆匆v v[， 。],1
大致d n[， 。],1
多半v[v a n r][， 。],1
极端n[， 。],1
[a d n v  l]一味,1
可巧v v[， 。],1
拼命n[， 。],1
恰好n[， 。],1
必须v a[， 。],1
必定d a[， 。],1
穿在 n[f s],1
被迫v a[， 。],1
从n f v[， 。],1
往往v v[， 。],1
[同期 同时 同样]v[v a n ][， 。],1
么d v[， 。],1
经常v u[， 。],1
一直v[v a n r][， 。],1
w是.否[q r d c v a  n m  p]w,1
其实[v a n r][， 。],1
顺便v y[， 。],1
无偿[v a n r][， 。],1
至少v u[， 。],1
a之作[， 。],1
随时v u[， 。],1
[s t]搬来n,1
[a d n v  l]事由,1
特意v u[， 。],1
当面v u[， 。],1
[， 。]p c [， 。],1
居然d a[， 。],1
v出了r[， 。],1
被r v了[， 。],1
起码v a[， 。],1
把r v了[， 。],1
向来v[， 。],1
缓缓d n[， 。],1
w对[， 、 ]对的,1
就地v v[， 。],1
[幸好 幸亏 徐徐]v[q m ]v[， 。],1
连连v v[， 。],1
极度d n[， 。],1
[s t]抱进来n,1
起码v n[， 。],1
似乎[v a n r][， 。],1
直到v a[， 。],1
连忙n[， 。],1
很有[n a v],1
专门v[v a n r][， 。],1
酌情v v[， 。],1
亲身v v[， 。],1
一律n[， 。],1
非常d v[， 。],1
特此v y[， 。],1
v一半[， 。],1
平衡/a[v p 地/u],1
无非v[， 。],1
w此.彼[q r d c v a  n m  p]w,1
[检查 付 午睡 托 断 抬 辟 叼]个,1
同样v a[， 。],1
[未必 未免 无偿]v[q m ]n[， 。],1
我有n[， 。],1
不曾d n[， 。],1
员d v[， 。],1
v了n[， 。],1
[得上n+m++]v+a[，+。],1
[得上n m ]v+a[， 。],1
w[q r d c v a  n m  p]友.敌w,1
单独v u[， 。],1
[从不 从此 从来]v[v a n ][， 。],1
[根本 更加 公然]v[q m ]n[， 。],1
一齐d v[， 。],1
始终v u[， 。],1
千万d n[， 。],1
w[q r d c v a  n m  p]稀.稠w,1
[， 。]v不了,1
就近v[v a n r][， 。],1
单独v v[， 。],1
w[q r d c v a  n m  p]老.幼w,1
[不可 不愧 不料][v a n r][， 。],1
明明a[， 。],1
终年v v[，+。],1
定期v v[，+。],1
反而n[， 。],1
成天v a[，+。],1
早已v n[，+。],1
有时d n[，+。],1
赶忙v a[，+。],1
都d v[，+。],1
极 a[，+。],1
时刻n[， 。],1
[追 啃 输 想起 剃 了解 登]个,1
w[q r d c v a  n m  p]直.曲w,1
定向d v[，+。],1
果然[v a n r][，+。],1
究竟[v a n r][，+。],1
先后d v[，+。],1
徐徐d v[，+。],1
就是n[， 。],1
书面d v[，+。],1
反正v n[，+。],1
务必d n[，+。],1
自行n[， 。],1
时而v u[，+。],1
牢记在 n[ f s],1
是v的[， 。],1
毫不v n[，+。],1
[烫 值 捏 拿出 听到 达到]个,1
w贬.褒[q r d c v a  n m  p]w,1
即将v[v a n r][， 。],1
w贱.贵[q r d c v a  n m  p]w,1
徐徐d a[，+。],1
就算d n[，+。],1
凡是n[， 。],1
亲笔v[， 。],1
甚至d a[，+。],1
v不进去[， 。],1
w[q r d c v a  n m  p]前.后w,1
相继v a[，+。],1
w[q r d c v a  n m  p]快.慢w,1
固然v[v a n r][， 。],1
好在v y[， 。],1
没v a[， 。],1
时常n[， 。],1
v[网络游戏 网游 手游 手机游戏],1
上了[上 一上],1
从n中v v[， 。],1
逐步d v[， 。],1
[， 。]d d v [， 。],1
聚在[nt ns s f r],1
从本质上[说 讲],1
[a d n v l]上场,1
[过分 过于 还是]v[v a n ][， 。],1
分批d a[， 。],1
真[叫 教 让 使 令 招 讨 遭]人,1
已v好[， 。],1
至少d n[， 。],1
[偶尔 偏偏 拼命]v[q m ]v[， 。],1
不许d v[， 。],1
一连v a[， 。],1
