query,respond,type
v痒了--开始痒了,语法错误，存在无效符号“-”,7
有V有V^^发现,语法错误，存在无效符号“^”,7
w什么[v+a+n+r+p]--什么时候,语法错误，存在无效符号“-”,7
w什么[v a n r p]--什么时候,语法错误，存在无效符号“-”,7
v校--校园,语法错误，存在无效符号“-”,7
成心--成心型,语法错误，存在无效符号“-”,7
一个跳^^一个跳投,语法错误，存在无效符号“^”,7
恐怕根本--根本的,语法错误，存在无效符号“-”,7
v滥竽充数--滥竽充数u,语法错误，存在无效符号“-”,7
钓鱼--猫,语法错误，存在无效符号“-”,7
脏./n--脏器,语法错误，存在无效符号“-”,7
m+架+n--[一 两] 架 n,语法错误，存在无效符号“-”,7
m 架 n--[一 两] 架 n,语法错误，存在无效符号“-”,7
v复杂了--变得复杂了,语法错误，存在无效符号“-”,7
饭*吃^^吃*人,语法错误，存在无效符号“^”,7
一定^^一定大,语法错误，存在无效符号“^”,7
说实话--w说实话,语法错误，存在无效符号“-”,7
缠在--[缠在一起 缠在一块],语法错误，存在无效符号“-”,7
出一出--一出一出,语法错误，存在无效符号“-”,7
*一遍w--一遍又一遍,语法错误，存在无效符号“-”,7
节日快乐^^你,语法错误，存在无效符号“^”,7
虽然^^于是,语法错误，存在无效符号“^”,7
相得益彰^^建筑,语法错误，存在无效符号“^”,7
相信不--相信不相信,语法错误，存在无效符号“-”,7
因--因此,语法错误，存在无效符号“-”,7
“被@”--“被v”,语法错误，存在无效符号“-”,7
就./v--+就是,语法错误，存在无效符号“-”,7
就./v-- 就是,语法错误，存在无效符号“-”,7
真的，--是真的,语法错误，存在无效符号“-”,7
遇--遇见,语法错误，存在无效符号“-”,7
你一个*，--你一个n，,语法错误，存在无效符号“-”,7
常--经常,语法错误，存在无效符号“-”,7
或许正--正在,语法错误，存在无效符号“-”,7
根本上讲--从根本上讲,语法错误，存在无效符号“-”,7
一定^^一定十,语法错误，存在无效符号“^”,7
m+家+n--[一 两] 家 n,语法错误，存在无效符号“-”,7
m 家 n--[一 两] 家 n,语法错误，存在无效符号“-”,7
恐怕*只得--就算只,语法错误，存在无效符号“-”,7
少说^^闲话少说,语法错误，存在无效符号“^”,7
。m个n--几个n,语法错误，存在无效符号“-”,7
还+./v+w--还说,语法错误，存在无效符号“-”,7
还 ./v w--还说,语法错误，存在无效符号“-”,7
刚才/t+v^^刚才 ../v,语法错误，存在无效符号“^”,7
刚才/t v^^刚才 ../v,语法错误，存在无效符号“^”,7
人家--外婆人家,语法错误，存在无效符号“-”,7
大约v^^大约v,语法错误，存在无效符号“^”,7
仅--仅仅,语法错误，存在无效符号“-”,7
她可--她可以,语法错误，存在无效符号“-”,7
新闻^^新闻,语法错误，存在无效符号“^”,7
换句话说--w换句话说,语法错误，存在无效符号“-”,7
v晴了--要晴了,语法错误，存在无效符号“-”,7
v糟了--可糟了,语法错误，存在无效符号“-”,7
谁都v不了^^谁都给不了,语法错误，存在无效符号“^”,7
m料--余料,语法错误，存在无效符号“-”,7
或许*原来--原来的,语法错误，存在无效符号“-”,7
恐怕*必定--必定又将,语法错误，存在无效符号“-”,7
这么说--w这么说,语法错误，存在无效符号“-”,7
对....能--能力,语法错误，存在无效符号“-”,7
好像*一定要--一定要。,语法错误，存在无效符号“-”,7
一句反驳--一句反驳的话,语法错误，存在无效符号“-”,7
一者--唯一,语法错误，存在无效符号“-”,7
看----看着,语法错误，存在无效符号“-”,7
好像实在^^忍不住,语法错误，存在无效符号“^”,7
她可--你可不可以,语法错误，存在无效符号“-”,7
大概/d^^大概V,语法错误，存在无效符号“^”,7
也许*恰^^恰如,语法错误，存在无效符号“^”,7
时间是N--n年,语法错误，存在无效符号“-”,7
a的是，--d+a的是，,语法错误，存在无效符号“-”,7
a的是，--d a的是，,语法错误，存在无效符号“-”,7
地--地上,语法错误，存在无效符号“-”,7
把*上上--把*上上下下,语法错误，存在无效符号“-”,7
n器--n器材,语法错误，存在无效符号“-”,7
../n文学--语言文学,语法错误，存在无效符号“-”,7
也许*竟--竟然,语法错误，存在无效符号“-”,7
也许*反--反而,语法错误，存在无效符号“-”,7
v.得比--比较,语法错误，存在无效符号“-”,7
v浅了--变浅了,语法错误，存在无效符号“-”,7
cash^^,语法错误，存在无效符号“^”,7
也许总--总经理,语法错误，存在无效符号“-”,7
喜欢v--不喜欢,语法错误，存在无效符号“-”,7
钓鱼--钓鱼岛,语法错误，存在无效符号“-”,7
v弱了--变弱了,语法错误，存在无效符号“-”,7
能不+v--不能不,语法错误，存在无效符号“-”,7
能不 v--不能不,语法错误，存在无效符号“-”,7
如此说^^w如此说,语法错误，存在无效符号“^”,7
齐v--一齐v,语法错误，存在无效符号“-”,7
公里+n^^m公里n,语法错误，存在无效符号“^”,7
公里 n^^m公里n,语法错误，存在无效符号“^”,7
遇到^^被,语法错误，存在无效符号“^”,7
v矮了--变矮了,语法错误，存在无效符号“-”,7
不./d^^不妨,语法错误，存在无效符号“^”,7
谁都v不了^^谁都救不了,语法错误，存在无效符号“^”,7
再不--再不然,语法错误，存在无效符号“-”,7
v寂寞了--是寂寞了,语法错误，存在无效符号“-”,7
最n--最f,语法错误，存在无效符号“-”,7
v丢了--是丢了,语法错误，存在无效符号“-”,7
大约*的确--确立,语法错误，存在无效符号“-”,7
连v都--全连,语法错误，存在无效符号“-”,7
一方面--另一方面,语法错误，存在无效符号“-”,7
情感^^情感n,语法错误，存在无效符号“^”,7
极n--积极,语法错误，存在无效符号“-”,7
当即^^却,语法错误，存在无效符号“^”,7
期待--期待的,语法错误，存在无效符号“-”,7
买个--买个，,语法错误，存在无效符号“-”,7
冰柜^^冰箱,语法错误，存在无效符号“^”,7
年青^^年青人,语法错误，存在无效符号“^”,7
干n--干锅--干爸,语法错误，存在无效符号“-”,7
